PROJECT,IN_SANCTIONED_SET,STATEMENT_DATE,VALUE_MM,CURRENCY,KIND,BASIS,PROVENANCE,CONFIDENCE,SOURCE_TITLE,SOURCE_URL,QUOTED_TEXT,ACCESSED_DATE,NOTES
Sangomar Phase 1,True,2020-01,4200,USD,sanction_estimate,"gross project cost at FID (Jan 2020), Phase 1",operator,high,"Oilfield Technology citing Reuters, 26 Mar 2020",https://www.oilfieldtechnology.com/offshore-and-subsea/26032020/sangomar-project-partners-deliberating-timing/,'US$4.2 billion Sangomar oil project',2026-07-15,
Sangomar Phase 1,True,2021-04,4600,USD,revised_estimate,updated 100% project cost forecast after detailed engineering,operator,high,"Woodside Q1 2021 Report, 22 Apr 2021",https://www.woodside.com/docs/default-source/investor-documents/quarterly-and-half-yearly-pdfs-and-data-tables/2021/q1-2021-report.pdf,'The updated cost forecast is $4.6 billion (100% project) and reflects further detailed engineering of the project',2026-07-15,
Sangomar Phase 1,True,2023-07,5050,USD,revised_estimate,cost estimate raised to a $4.9-5.2bn range (5050 = range midpoint recorded),operator,high,"Woodside ASX 'Sangomar Project Update', 18 Jul 2023",https://www.woodside.com/docs/default-source/asx-announcements/2023-asx/sangomar-project-update.pdf,'The project cost estimate has increased to US$4.9-5.2 billion from the previous US$4.6 billion',2026-07-15,Recorded as range midpoint 5050; range 4900-5200.
Sangomar Phase 1,True,2025-02,5000,USD,final_outturn,"final Phase 1 cost, ~$5.0bn (lower end of the prior range)",operator,high,"Woodside ASX reserves statement + Sangomar update, 17 Feb 2025",https://www.woodside.com/docs/default-source/asx-announcements/2025/woodside-releases-reserves-statement-and-sangomar-update.pdf,"'The final Sangomar Field Development Phase 1 cost was approximately $5.0 billion, at the lower end of the previously estimated range of $4.9 - $5.2 billion.'",2026-07-15,Trail: +19% sanction->final over 5 years; slipped first oil target.
Barossa,True,2021-03,3600,USD,sanction_estimate,gross project cost at FID; EXCLUDES the separate Darwin LNG life-extension,operator,high,Santos — Santos announces FID on the Barossa gas project,https://www.santos.com/news/santos-announces-fid-on-the-barossa-gas-project-for-darwin-lng/,'a final investment decision (FID) has been taken to proceed with the US$3.6 billion gas and condensate project',2026-07-15,
Barossa,True,2024-01,4550,USD,revised_estimate,total capex now $4.5-4.6bn including Darwin Pipeline Duplication (4550 = midpoint),operator,high,"Santos 2023 Fourth Quarter Report, 25 Jan 2024",https://www.santos.com/wp-content/uploads/2024/01/2023-Fourth-Quarter-Report.pdf,'Total capital expenditure is expected to be $4.5 to $4.6 billion for the project (including DPD).',2026-07-15,"Includes DPD scope not in the $3.6bn FID basis — a scope change, not pure overrun."
Barossa,True,2025-06,3950,USD,spend_to_date,JV spend to date at FPSO arrival in field,operator,high,"Santos — Barossa LNG FPSO arrives in field, 18 Jun 2025",https://www.santos.com/news/barossa-lng-fpso-arrives-in-field-successfully-hooks-up-and-commences-final-commissioning-plans/,"'Santos and its joint venture partners, SK E&S and JERA Co., Inc. have invested US$3.95 billion (A$6.07 billion at today's rates)'",2026-07-15,
Kraken,True,2013-11,3200,USD,sanction_estimate,full-cycle gross capex at sanction (operator's own USD figure; sanction release itself was GBP-only),operator,high,"EnQuest, restated in Kraken First Oil release, 26 Jun 2017",https://www.enquest.com/media/press-releases/article/kraken-first-oil,"'The gross capital costs of the development are currently estimated to be approximately $2.5 billion, down from $3.2 billion'",2026-07-15,
Kraken,True,2017-06,2500,USD,final_forecast,"gross capital costs at first oil, down 22% from sanction",operator,high,"EnQuest — Kraken First Oil, 26 Jun 2017",https://www.enquest.com/media/press-releases/article/kraken-first-oil,"'currently estimated to be approximately $2.5 billion, down from $3.2 billion'",2026-07-15,"EnQuest FY2017 results later trimmed further to ~$2.3bn (trail continues; that point trade-summarised, not added here)."
Mad Dog Phase 2 (Argos),True,2013,22000,USD,revised_estimate,original >$20bn concept estimate (recorded ~22000) before the redesign,trade_press,low,Offshore Technology project profile (concept-era estimate),https://www.offshore-technology.com/projects/mad-dog-phase-2-gulf-of-mexico/,'Initial development plans [had] spiralling costs that were estimated to be $22bn',2026-07-15,Concept-era figure; trade-attributed. The revision itself is the point.
Mad Dog Phase 2 (Argos),True,2016,14000,USD,revised_estimate,intermediate re-scoped estimate,trade_press,low,Offshore Technology project profile,https://www.offshore-technology.com/projects/mad-dog-phase-2-gulf-of-mexico/,"'Reduced the development cost to $14bn, which was further reduced to $9bn'",2026-07-15,
Mad Dog Phase 2 (Argos),True,2016-12,9000,USD,sanction_estimate,gross (100%) cost at sanction — ~60% below the abandoned 2013 concept,partner_sec,high,"BHP Billiton Form 6-K half-year results, Feb 2017 (SEC)",https://www.sec.gov/Archives/edgar/data/0000811809/000119312517049179/d341376d6k.htm,'now estimated to be US$9 billion on a 100 per cent basis (US$2.2 billion BHP Billiton share)',2026-07-15,Exemplar of design-led cost reduction: 22->14->9 $bn. BP sanction 1 Dec 2016.
Gorgon (incl. Jansz-Io),True,2009-09,37000,USD,sanction_estimate,"first-phase total estimated project costs at FID (integrated LNG, incl. onshore)",partner_sec,high,Chevron Corporation Form 10-K FY2011 (SEC),https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/f60351e10vk.htm,'Total estimated project costs for the first phase of development are $37 billion.',2026-07-15,
Gorgon (incl. Jansz-Io),True,2016-03,54000,USD,final_outturn,"cost at first LNG, ~$54bn (~46% over the FID estimate)",trade_press,low,IndustryWeek — Chevron's $54 billion Gorgon LNG project starts production,https://www.industryweek.com/operations/energy-management/article/21971352/chevrons-54-billion-gorgon-lng-project-starts-production,'$54 billion Gorgon LNG project',2026-07-15,Chevron announced a ~$15bn increase in Dec 2012 (AUD-denominated); the ~$54bn outturn is widely reported and Chevron-derived but flagged trade-tier here.
Wheatstone (incl. Iago),True,2011-09,29000,USD,sanction_estimate,foundation-phase total estimated project costs at FID (integrated LNG),partner_sec,high,Chevron Corporation Form 10-K FY2011 (SEC),https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/f60351e10vk.htm,'Total estimated project costs for the first phase of development are $29 billion.',2026-07-15,Trade reports ~$34bn outturn but no Chevron-attributed figure located; outturn point deferred to a deeper pass.
Mariner,True,2012-12,7000,USD,sanction_estimate,"gross project investments at FID, full development",operator,high,"Equinor press release, 21 Dec 2012",https://www.equinor.com/news/archive/2012/12/21/21DecMariner,'The project entails investments of more than USD 7 billion',2026-07-15,
Mariner,True,2019,7700,USD,final_outturn,~$7.7bn reported at startup (first oil slipped 2017->Aug 2019),trade_press,low,Trade-press startup coverage (outturn ~$7.7bn),https://www.offshore-energy.biz/statoil-makes-fid-for-7-bln-mariner-development-uk/,reported ~$7.7bn at startup,2026-07-15,Outturn trade-tier; an Equinor-attributed startup figure would upgrade this point.
